,gamma_2.5,gamma_2.5,gamma_2.5,gamma_3,gamma_3,gamma_3,gamma_4,gamma_4,gamma_4,ER_2.5,ER_2.5,ER_2.5,ER_5,ER_5,ER_5,ER_10,ER_10,ER_10
,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution
2019-07-10,795,795,795,713,713,712,524,537,567,913,910,913,993,993,993,1000,1000,1000
2019-07-11,795,795,795,713,713,712,525,538,567,913,910,913,993,993,993,1000,1000,1000
2019-07-12,795,795,795,713,713,712,526,538,567,913,910,913,993,993,993,1000,1000,1000
2019-07-13,795,795,795,713,713,712,526,538,567,913,910,913,993,993,993,1000,1000,1000
2019-07-14,795,795,795,713,713,712,527,539,567,913,910,913,993,993,993,1000,1000,1000
2019-07-15,795,795,795,713,713,712,529,539,567,913,910,913,993,993,993,1000,1000,1000
2019-07-16,795,795,795,713,713,712,529,541,567,913,910,913,993,993,993,1000,1000,1000
2019-07-17,795,795,795,713,713,712,529,542,567,913,910,913,993,993,993,1000,1000,1000
2019-07-18,795,795,795,713,713,712,530,542,567,913,910,913,993,993,993,1000,1000,1000
2019-07-19,795,795,795,713,713,712,530,542,567,913,910,913,993,993,993,1000,1000,1000
2019-07-20,795,795,795,713,713,712,531,543,567,913,910,913,993,993,993,1000,1000,1000
2019-07-21,795,795,795,713,713,712,531,543,567,913,910,913,993,993,993,1000,1000,1000
2019-07-22,795,795,795,713,713,712,532,543,567,913,910,913,993,993,993,1000,1000,1000
2019-07-23,795,795,795,713,713,712,532,543,567,913,910,913,993,993,993,1000,1000,1000
2019-07-24,795,795,795,713,713,712,535,544,568,913,910,913,993,993,993,1000,1000,1000
2019-07-25,795,795,795,713,713,712,536,546,569,913,910,913,993,993,993,1000,1000,1000
2019-07-26,795,795,795,713,713,712,537,548,569,913,910,913,993,993,993,1000,1000,1000
2019-07-27,795,795,795,713,713,712,537,548,569,913,910,913,993,993,993,1000,1000,1000
2019-07-28,795,795,795,713,713,712,538,548,569,913,910,913,993,993,993,1000,1000,1000
2019-07-29,795,795,795,713,713,712,540,548,569,913,910,913,993,993,993,1000,1000,1000
2019-07-30,795,795,795,713,713,712,543,548,569,913,910,913,993,993,993,1000,1000,1000
2019-07-31,795,795,795,713,713,712,543,548,569,913,910,913,993,993,993,1000,1000,1000
2019-08-01,795,795,795,713,713,712,543,549,569,913,910,913,993,993,993,1000,1000,1000
2019-08-02,795,795,795,713,713,712,544,549,569,913,910,913,993,993,993,1000,1000,1000
2019-08-03,795,795,795,713,713,712,544,549,569,913,910,913,993,993,993,1000,1000,1000
2019-08-04,795,795,795,713,713,712,544,550,569,913,910,913,993,993,993,1000,1000,1000
2019-08-05,795,795,795,713,713,712,545,550,569,913,910,913,993,993,993,1000,1000,1000
2019-08-06,795,795,795,713,713,712,546,550,569,913,910,913,993,993,993,1000,1000,1000
2019-08-07,795,795,795,713,713,712,547,550,569,913,910,913,993,993,993,1000,1000,1000
2019-08-08,795,795,795,713,713,712,547,550,569,913,910,913,993,993,993,1000,1000,1000
2019-08-09,795,795,795,713,713,712,547,550,569,913,910,913,993,993,993,1000,1000,1000
2019-08-10,795,795,795,713,713,712,547,550,569,913,910,913,993,993,993,1000,1000,1000
2019-08-11,795,795,795,713,713,712,548,550,569,913,910,913,993,993,993,1000,1000,1000
2019-08-12,795,795,795,713,713,712,548,551,569,913,910,913,993,993,993,1000,1000,1000
2019-08-13,795,795,795,713,713,712,550,553,569,913,910,913,993,993,993,1000,1000,1000
2019-08-14,795,795,795,713,713,712,551,554,569,913,910,913,993,993,993,1000,1000,1000
2019-08-15,795,795,795,713,713,712,553,554,569,913,910,913,993,993,993,1000,1000,1000
